jurisdiction,issuing_body,source_collection,document_title,document_type,file_format,page_count,source_url,sha256,license_name,license_url
INT-FATF,Financial Action Task Force (FATF),FATF,Terrorist-Financing-Risk-Assessment-Guidance,FATF Recommendations,PDF,66,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/Terrorist-Financing-Risk-Assessment-Guidance.pdf.coredownload.pdf,601316b5944a8a719b232d35e09f068960d4af9a800396d6b9def5b91bdd8091,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Updated-2017-FATF-2013-Guidance,FATF Guidance,PDF,120,https://www.fatf-gafi.org/content/dam/fatf-gafi/images/guidance/Updated-2017-FATF-2013-Guidance.pdf,89fd6bdc12009e50f84bd73fe53bf8bd81e80ff4695a7842a31bda48cf1b6e0f,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Updated-Guidance-VA-VASP.pdf.coredownload.inline,FATF Recommendations,PDF,111,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/Updated-Guidance-VA-VASP.pdf,85240528438654b9adb9d0272675afdd3d4b16962ba0298a7569a4097197371c,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Updated-Guidance-VA-VASP,FATF Recommendations,PDF,111,https://www.fatf-gafi.org/content/dam/fatf-gafi/guidance/Updated-Guidance-VA-VASP.pdf,85240528438654b9adb9d0272675afdd3d4b16962ba0298a7569a4097197371c,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
INT-FATF,Financial Action Task Force (FATF),FATF,Virtual-Assets-Red-Flag-Indicators,FATF Recommendations,PDF,24,https://www.fatf-gafi.org/content/dam/fatf-gafi/reports/Virtual-Assets-Red-Flag-Indicators.pdf,d758cb6128239f3628a0aff5e1cc1bbdecd38973338f6c7784a8100dc59841b3,Copyright FATF/OECD — All Rights Reserved (limited personal use only),https://www.fatf-gafi.org/termsconditions/
Singapore,Inland Revenue Authority of Singapore (IRAS),IRAS,GST Digital Payment Tokens,e-Tax Guide,PDF,23,https://www.iras.gov.sg/media/docs/default-source/e-tax/e-tax-guide_gst_digital-payment-tokens.pdf,abc2247bc6415d1dd1a859fa348c4a3bdc0f73470a32ed5c5d29be3741ea343f,All Rights Reserved — IRAS Copyright (prior written permission required),https://www.iras.gov.sg/terms-of-use-browser-compatibility
Singapore,Inland Revenue Authority of Singapore (IRAS),IRAS,Income Tax Treatment of Digital Tokens,e-Tax Guide,PDF,19,https://www.iras.gov.sg/media/docs/default-source/e-tax/etaxguide_cit_income-tax-treatment-of-digital-tokens_091020.pdf,7c5602f8b898a7ab761ff4731b072800a1314048fc16303cbd4a8b5376d8fc0c,All Rights Reserved — IRAS Copyright (prior written permission required),https://www.iras.gov.sg/terms-of-use-browser-compatibility
Singapore,Monetary Authority of Singapore (MAS),MAS-Consultations,2022 CP DPT Services,Consultation Paper,PDF,34,https://www.mas.gov.sg/-/media/mas/news-and-publications/consultation-papers/2022-proposed-regulatory-measures-for-dpt-services/consultation-paper-on-proposed-regulatory-measures-for-digital-payment-token-services-v2.pdf,321e082bdbe732d3dd375078489612ea8d909c8972f19fbd5bdee55340696bac,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Consultations,2022 CP Stablecoin Regulatory Approach,Consultation Paper,PDF,21,https://www.mas.gov.sg/-/media/mas-media-library/publications/consultations/pd/2022/consultation-on-stablecoin-regulatory-approach_finalised.pdf,33d059aa86716ddd2d4aa6f28c1384c906413c81c8c87fe9ab7f432a57f49db2,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
Singapore,Monetary Authority of Singapore (MAS),MAS-Consultations,2023 Annex Stablecoin Submissions,Consultation Response,PDF,122,https://www.mas.gov.sg/-/media/mas-media-library/publications/consultations/pd/2023/aug2023_stablecoins-consult-reponse-annex-c---public-submissions_vfinal.pdf,7c04f2a0bd85290afad3337979c446d7aaef000eb3612501ca3f769d25de5689,All Rights Reserved — MAS Terms of Use (prior written permission required),https://www.mas.gov.sg/terms-of-use
